,id,rank,Country,Continent,TwoLetterSymbol,ThreeLetterSymbol,Infection_Risk,Case_Fatality_Rate,Test_Percentage,Recovery_Proporation,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,TotalTests,Population,one_Caseevery_X_ppl,one_Deathevery_X_ppl,one_Testevery_X_ppl,Deaths_1M_pop,Serious_Critical,Tests_1M_Pop,TotCases_1M_Pop
49,f6ecf8d7-5867-42dc-9290-24fda4cb14f0,2,India,Asia,in,ind,3.18,1.19,64.13,98.78,44662952,0,530511,0,44118882,0,13559,902104560,1406631776,31,2651,2,377,698,641322,31752
50,bc4902f3-885b-4666-bbae-a159b53c831b,6,S. Korea,Asia,kr,kor,50.62,0.11,30.79,97.15,25981655,62472,29479,59,25241658,26793,710518,15804065,51329899,2,1741,3,574,336,307892,506170
51,905d7fab-0083-4209-8a10-61f8b3e74994,9,Japan,Asia,jp,jpn,18.15,0.21,62.35,90.07,22790250,0,47139,0,20528109,0,2215002,78307523,125584838,6,2664,2,375,176,623543,181473
52,a30588f4-4e4b-4e3b-92b2-1baeb341682e,11,Turkey,Asia,tr,tur,19.77,0.6,190.21,99.4,16919638,0,101203,0,16818435,0,0,162743369,85561976,5,845,1,1183,0,1902052,197747
53,de1a2462-a817-4b62-839f-9c0f5f717eda,13,Vietnam,Asia,vn,vnm,11.63,0.38,86.73,92.16,11506656,0,43166,0,10605008,0,858482,85826548,98953541,9,2292,1,436,77,867342,116283
54,0a14bd04-b96e-4afb-b4bf-8a4657740ccd,17,Taiwan,Asia,tw,twn,33.19,0.17,117.17,91.93,7929052,0,13247,0,7288911,0,626894,27990764,23888595,3,1803,1,555,0,1171721,331918
55,fa5c2b0a-f283-406a-9d80-2ec4c1309a62,18,Iran,Asia,ir,irn,8.79,1.91,63.26,97.02,7558593,0,144604,0,7333291,0,80698,54420785,86022837,11,595,2,1681,92,632632,87867
56,2ff2436f-a569-44bf-ba29-083ad4f81f70,20,Indonesia,Asia,id,idn,2.34,2.43,39.75,96.94,6531721,0,158909,0,6331960,0,40852,110961033,279134505,43,1757,3,569,2771,397518,23400
57,e104cdc2-f1cc-45de-a101-fc1d50310e23,27,Malaysia,Asia,my,mys,14.87,0.74,197.98,98.54,4933753,0,36504,0,4861792,0,35457,65692285,33181072,7,909,1,1100,75,1979812,148692
58,b012c316-0e20-4bfe-9ce2-edf9dcca2f0b,30,Thailand,Asia,th,tha,6.7,0.7,24.65,99.03,4695207,0,32995,0,4649509,0,12703,17270775,70078203,15,2124,4,471,1496,246450,67000
59,d16f103a-0088-436d-bac6-0a29535520f9,31,Israel,Asia,il,isr,50.31,0.25,443.63,99.58,4692163,0,11784,0,4672508,0,7871,41373364,9326000,2,791,0,1264,24,4436346,503127
60,f0e6ea86-a22d-405c-a0c7-63dbb2a2c03f,38,Philippines,Asia,ph,phl,3.57,1.6,29.62,98.0,4011625,0,64298,0,3931293,0,16034,33323944,112508994,28,1750,3,571,124,296189,35656
61,7d322f05-e02b-40f5-bd69-577adea222a3,42,Iraq,Asia,iq,irq,5.84,1.03,45.96,98.95,2461857,0,25361,0,2435999,0,497,19377732,42164965,17,1663,2,601,21,459570,58386
62,f7c6cb29-752b-4f13-b419-813680ad7e12,45,Singapore,Asia,sg,sgp,35.81,0.08,414.27,96.26,2128572,0,1691,0,2049047,0,77834,24622510,5943546,3,3515,0,285,14,4142731,358132
63,c41513ff-6514-470a-b9f1-ff13a051cad2,46,Bangladesh,Asia,bd,bgd,1.21,1.45,8.95,97.4,2035930,0,29426,0,1982999,0,23505,15024644,167885689,82,5705,11,175,1331,89493,12127
